Column 2,Column 9,Column 10,Column 11,Column 12,Column 47
Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,
CHEMBL1083166,CC(C)c1cc2c(s1)c1cnn(Cc3ccccc3F)c(=O)c1n2C,AC50,'=',142.0,
CHEMBL1084899,CC(=O)c1cc2c(s1)c1cnn(Cc3ccccc3F)c(=O)c1n2C,AC50,'=',11.0,
CHEMBL1086348,Cn1c2cc(S(C)(=O)=O)sc2c2cnn(Cc3ccccc3F)c(=O)c21,AC50,,,
CHEMBL1086566,Cn1c2cc([S+](C)[O-])sc2c2cnn(Cc3ccccc3F)c(=O)c21,AC50,'=',25.0,
CHEMBL1083882,COc1cc2c(s1)c1cnn(Cc3ccccc3F)c(=O)c1n2C,AC50,'=',86.0,
CHEMBL1088762,COc1ccc(S(=O)(=O)N2CCN(S(=O)(=O)c3ccc4c(c3)OCCO4)CC2)cc1,AC50,'=',111.0,
CHEMBL1091501,O=S(=O)(c1ccc2c(c1)OCCO2)N1CCN(S(=O)(=O)c2ccc3c(c2)OCCO3)CC1,AC50,'=',270.0,
CHEMBL1092472,O=S(=O)(NC1CCN(S(=O)(=O)c2ccc3c(c2)OCCO3)C1)c1c(F)cccc1F,AC50,'>',15000.0,
CHEMBL1091794,O=S(=O)(NCCCNS(=O)(=O)c1c(F)cccc1F)c1ccc2c(c1)OCCO2,AC50,'=',3850.0,
CHEMBL1093092,O=S(=O)(NCCCCCCNS(=O)(=O)c1c(F)cccc1F)c1ccc2c(c1)OCCO2,AC50,'=',4830.0,
CHEMBL1088748,C[C@@H]1CN(S(=O)(=O)c2ccc3c(c2)OCCO3)CCN1S(=O)(=O)c1c(F)cccc1F,AC50,'=',2930.0,
CHEMBL1091504,O=S(=O)(c1ccc(Cl)cc1)N1CCN(S(=O)(=O)c2ccc3c(c2)OCCO3)CC1,AC50,'=',154.0,
CHEMBL1090711,CC1(C)CCc2cc(S(=O)(=O)N3CCN(S(=O)(=O)c4c(F)cccc4F)CC3)ccc2O1,AC50,'=',93.0,
CHEMBL1089366,COc1ccc(S(=O)(=O)N2CCN(S(=O)(=O)c3c(F)cccc3F)CC2)cc1,AC50,'=',90.0,
CHEMBL1092297,O=S(=O)(c1ccc2c(c1)OCCO2)N1CCN(S(=O)(=O)c2cc(F)c(F)cc2F)CC1,AC50,'=',90.0,
CHEMBL1093369,O=S(=O)(c1c(F)cccc1F)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,AC50,'=',66.0,
CHEMBL1086539,Cc1cc2c(s1)c1cnn(Cc3ccccc3Cl)c(=O)c1n2C,AC50,'=',298.0,
CHEMBL1085412,Cc1cc2c(s1)c1cnn(Cc3ccccc3F)c(=O)c1n2C(C)C,AC50,,,
CHEMBL1086349,Cn1c2cc([N+](=O)[O-])sc2c2cnn(Cc3ccccc3F)c(=O)c21,AC50,'=',18.0,
CHEMBL4529048,O=C(CCSC(=S)NCc1cccnc1)c1c[nH]c2nccc(Cl)c12,AC50,'=',1140.0,
CHEMBL1085960,Cc1ccc(Cn2ncc3c4sc(C)cc4n(C)c3c2=O)c(F)c1,AC50,'=',108.0,
CHEMBL1091760,COc1cc(F)c(S(=O)(=O)N2CCN(S(=O)(=O)c3cccc(N)c3)CC2)c(F)c1,AC50,'=',26.0,
CHEMBL1093360,O=S(=O)(NCC1CN(S(=O)(=O)c2ccc3c(c2)OCCO3)C1)c1c(F)cccc1F,AC50,'=',4470.0,
CHEMBL1090774,O=S(=O)(c1ccc(F)cc1)N1CCN(S(=O)(=O)c2ccc3c(c2)OCCO3)CC1,AC50,'=',94.0,
CHEMBL1090776,O=S(=O)(c1ccc2c(c1)OCCO2)N1CCN(S(=O)(=O)c2ccccc2F)CC1,AC50,'=',89.0,
CHEMBL1091502,COc1ccc(S(=O)(=O)N2CCN(S(=O)(=O)c3ccc(OC)cc3)CC2)cc1,AC50,'=',171.0,
CHEMBL1085340,Cc1cc2c(s1)c1cnn(Cc3ccc(C(F)(F)F)cc3F)c(=O)c1n2C,AC50,'>',15000.0,
CHEMBL1082798,Cc1cc2c(s1)c1cnn(Cc3cccc(C)c3F)c(=O)c1n2C,AC50,'=',35.0,
CHEMBL1082797,Cc1cc2c(s1)c1cnn(Cc3c(F)c(F)cc(F)c3F)c(=O)c1n2C,AC50,'=',345.0,
CHEMBL1092782,C[C@@H]1CN(S(=O)(=O)c2c(F)cccc2F)CCN1S(=O)(=O)c1ccc2c(c1)OCCO2,AC50,'=',3100.0,
CHEMBL1093093,O=S(=O)(N[C@H]1CC[C@H](NS(=O)(=O)c2c(F)cccc2F)CC1)c1ccc2c(c1)OCCO2,AC50,'=',2110.0,
CHEMBL1089603,O=S(=O)(c1ccc2c(c1)OCCO2)N1CCN(S(=O)(=O)c2ccc(F)cc2F)CC1,AC50,'=',124.0,
CHEMBL1090777,O=S(=O)(c1ccc2c(c1)OCCO2)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,AC50,'=',65.0,
CHEMBL1091056,Cc1nc2cc(S(=O)(=O)N3CCN(S(=O)(=O)c4c(F)cccc4F)CC3)ccc2s1,AC50,'=',86.0,
CHEMBL1085587,COc1cccc(Cn2ncc3c4sc([S+](C)[O-])cc4n(C)c3c2=O)c1,AC50,'=',73.0,
CHEMBL1084029,Cc1cc2c(s1)c1cnn(Cc3c(F)cccc3Cl)c(=O)c1n2C,AC50,'=',60.0,
CHEMBL3104590,O=C(c1cc(C2CC2)n[nH]1)N(Cc1ccc(O)cc1F)CC1CCC1,AC50,'=',92.0,
CHEMBL3104589,O=C(c1cc(C(F)(F)F)n[nH]1)N(Cc1cccc2c1CCN2)CC1CCC1,AC50,'=',1700.0,
CHEMBL3104586,O=C(c1cc(Cl)n[nH]1)N(Cc1cccc2[nH]ncc12)CC1CCC1,AC50,'=',2933.0,
CHEMBL3104572,O=C(c1cc(Br)c[nH]1)N(Cc1ccc(F)cc1)CC1CCC1,AC50,'=',12150.0,
CHEMBL3104571,O=C(c1cc(Br)c[nH]1)N(Cc1ccccc1O)CC1CCC1,AC50,'=',1290.0,
CHEMBL2386927,O=c1cc(Cn2cnc3ccccc32)nc2sccn12,AC50,'=',266.0,
CHEMBL2386917,Cc1cccc2nc(Cn3cnc4ccccc43)cc(=O)n12,AC50,'=',159.0,
CHEMBL2386915,Cc1ccc2nc(Cn3cnc4ccccc43)cc(=O)n2c1,AC50,'=',755.0,
CHEMBL1091795,O=S(=O)(NCCCCNS(=O)(=O)c1c(F)cccc1F)c1ccc2c(c1)OCCO2,AC50,'=',7970.0,
CHEMBL1091057,O=S(=O)(c1ccc2c(c1)OCCO2)C1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,AC50,'=',863.0,
CHEMBL1091831,O=S(=O)(N[C@H]1CC[C@@H](NS(=O)(=O)c2c(F)cccc2F)CC1)c1ccc2c(c1)OCCO2,AC50,'>',35000.0,
CHEMBL1093096,O=C1CN(S(=O)(=O)c2ccc3c(c2)OCCO3)CCN1S(=O)(=O)c1c(F)cccc1F,AC50,'=',2420.0,
CHEMBL1084057,Cn1c2ccsc2c2ncn(Cc3ccccc3F)c(=O)c21,AC50,'>',35000.0,
CHEMBL1085413,Cc1cc2c(s1)c1c(C)nn(Cc3ccccc3F)c(=O)c1n2C,AC50,'>',30000.0,
CHEMBL1085410,Cc1cc2[nH]c3c(=O)n(Cc4ccccc4F)ncc3c2s1,AC50,,,
CHEMBL1084625,Cc1cc2c(s1)c1cnn(Cc3ccccc3F)c(=O)c1n2C,AC50,'=',326.0,
CHEMBL4164208,O=S(=O)(Nc1ccc(C2(O)CSC(=S)N2Cc2cccnc2)cc1)c1ccc(F)cc1,AC50,'>',20000.0,
CHEMBL4160808,O=S(=O)(Nc1ccc(C2(O)CSC(=S)N2Cc2cccnc2)cc1)c1ccccc1-c1ccccc1,AC50,'>',20000.0,
CHEMBL4172534,O=S(=O)(Nc1ccc(C2(O)CSC(=S)N2Cc2cccnc2)cc1)c1cccs1,AC50,'=',1470.0,
CHEMBL1085794,Cc1cc2c(s1)c1cnn(Cc3c(F)cccc3F)c(=O)c1n2C,AC50,'=',49.0,
CHEMBL1085647,Cn1c2cc(C=O)sc2c2cnn(Cc3ccccc3F)c(=O)c21,AC50,'=',16.0,
CHEMBL1083475,Cn1c2ccsc2c2cnn(Cc3ccccc3F)c(=O)c21,AC50,'=',605.0,
CHEMBL3104565,O=C(c1cc(Br)c[nH]1)N(Cc1ccccc1)CC1CC1,AC50,'=',12200.0,
CHEMBL3104569,O=C(c1cc(Br)c[nH]1)N(Cc1ccc(O)cc1)CC1CCC1,AC50,'=',1710.0,
CHEMBL3104591,N#Cc1cc(C(=O)N(Cc2ccc(O)cc2F)CC2CCC2)[nH]n1,AC50,'=',4467.0,
CHEMBL2385099,COc1cccc(NS(=O)(=O)c2cc3c(cc2Cl)NC(=O)CO3)c1,AC50,'=',153.0,
CHEMBL2386913,Cc1ccc2nc(Cn3c(Cc4ccccc4)nc4ccccc43)cc(=O)n2c1,AC50,'=',3500.0,
CHEMBL3335791,COc1ccccc1N1CCN(C(=O)c2ccc(NS(=O)(=O)c3cccc4cccnc34)cc2)CC1,AC50,'=',45.0,
CHEMBL4574484,O=C(CCSC(=S)NCc1cccnc1)c1c[nH]c2nccc(Br)c12,AC50,'=',610.0,
CHEMBL4444761,Cc1ccc2c(C(=O)CCSC(=S)NCc3cccnc3)c[nH]c2n1,AC50,,,
CHEMBL4520841,O=C(CCSC(=S)NCc1cccnc1)c1cnn2ccccc12,AC50,'>',20000.0,
CHEMBL4572479,O=C(CCSC(=S)NCc1cccnc1)c1cn(-c2ccccc2)c2ncccc12,AC50,'=',2500.0,
CHEMBL4474938,O=C(CCSC(=S)NCc1cccnc1)c1c[nH]c2ncc(Cl)cc12,AC50,'=',180.0,
